headline,date,description
Malta Bankers’ Association appoints new assistant secretary general,"Thursday, 17 October 2019, 12:13",Rita Sammut Buontempo has been appointed as the new assistant secretary general of the Malta Bankers' Association as of 23 September. Sammut Buontempo has extensive experience in the banking...
Misco publishes 34th edition of its Annual Salaries and Benefits report,"Thursday, 17 October 2019, 12:12","2019 sees average salary increase of 3%, but entry level salaries decrease While the average salary increase in 2019 was of 3% and salaries have in some areas remained static, the entry level..."
Emirates offers special rates from Malta to Dubai and a free day pass to Atlantis Aquaventure,"Thursday, 17 October 2019, 12:11",Emirates has launched special fares to Dubai. Each ticket for a flight departing from Malta will also include a complimentary day pass to Atlantis Aquaventure & The Lost Chambers Aquarium - one of...
The official opening of the MaritimeMT Training Centre,"Thursday, 17 October 2019, 12:09","Prime Minister Joseph Muscat last week inaugurated the MaritimeMT training Centre in Ħal Far, a €4m investment by the Malta Maritime Pilots Cooperative. This Centre intends to take maritime..."
Melita launches melita.io to offer IoT connectivity across Europe,"Thursday, 17 October 2019, 12:09","Melita Limited has launched melita.io, a new brand dedicated to delivering Machine to Machine and Internet of Things connectivity to businesses across Europe. This development positions melita.io in a..."
MAPFRE Malta supports Action for Breast Cancer Foundation for Pink October,"Thursday, 17 October 2019, 12:07","This month, MAPFRE Malta has contributed towards the production of a campaign created by the Action for Breast Cancer Foundation in order to support the initiative and generate awareness for Pink..."
UM academic elected to serve on Global Academic Leaders Forum Advisory Committee,"Thursday, 17 October 2019, 12:05","During the 79th International Pharmaceutical Federation World Congress, held recently in Abu Dhabi, Professor Lilian M. Azzopardi, head of Department of Pharmacy at the Faculty of Medicine and Surgery..."
Malta with the least usage of childcare facilities in the EU,"Thursday, 17 October 2019, 12:02","In 2018, among the 308 million people aged 18 to 64 in the European Union just over one third (34%), or 106 million people, reported care responsibilities. These responsibilities involved caring for..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
"Malta, Cyprus lead EU ranking of $1.6 trillion assets held offshore","Thursday, 17 October 2019, 12:01","European Union taxpayers held assets worth at least $1.6 trillion offshore in 2016, equal to nearly 10% of the bloc's output, the European Commission said last week, estimating tax revenue losses at..."
Safeguarding the future value of your business,"Wednesday, 16 October 2019, 10:47","The Maltese economy continues its evolution into an information and service nexus where creating value is based on people, their intellect and knowledge, and their willingness to invest this within..."
Maurizio Mamo presented with Entrepreneur of the Year award in the Digital and IT category,"Tuesday, 15 October 2019, 16:07","Maurizio Mamo, Founder and CEO of 4Sight Group, provider of IT and digital solutions, IT engineering and consultancy, business solutions and bespoke software solutions, among other services, has been..."
MBB and Malta CSR Institute host Food Waste Reduction Training,"Tuesday, 15 October 2019, 16:04","The Malta Business Bureau (MBB) and the Malta CSR Institute, which is backed by the HSBC Malta Foundation, have hosted the first in a series of half-day food waste reduction training and awareness..."
Innovation hub – is it another Alice in Wonderland?,"Tuesday, 15 October 2019, 16:00","With so much talk about artificial intelligence, IoT and blockchain technology in the air, one could believe that having a research and business innovation hub in Malta is just a fantasy/dream similar..."
Calamatta Cuschieri Group appoints Head of Capital Markets,"Tuesday, 15 October 2019, 13:40","Calamatta Cuschieri is proud to announce the appointment of Patrick Mangion as Head of Capital Markets. Mangion who is a veteran in the Capital Markets field, joins a team of high calibre individuals..."
Pound jumps as Barnier says Brexit deal 'possible',"Tuesday, 15 October 2019, 10:10","Market summary Maltese market closed in red on Monday, with MSE total index ending the session 0.743% lower to 9,833.098 points. Best performer was MIDI plc, it jumped 0.72% to close at 0.695...."
Markets advance on trade talks,"Monday, 14 October 2019, 15:11",US stocks ended the week higher on Friday after reports emerged that the US and China had reached an agreement that includes the elimination of at least some of the planned tariffs in an attempt to...
Express Trailers supports the Malta Classic 2019,"Friday, 11 October 2019, 15:58",Express Trailers remains committed to promoting the importance of more road safety on Malta's roads. The aspect of safety is in fact a defining trait at Express Trailers where the tone and corporate...
HVAC Products for Tomorrow… Today  discussed at Trane Conference,"Friday, 11 October 2019, 09:47","Trane , the world's leading provider of cooling and heating air conditioning and refrigeration systems recently hosted a conference for local engineers and maintenance personnel. The seminar,..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Discussing tax incentives on pensions in Gozo,"Thursday, 10 October 2019, 15:32",Tax Incentives - Corporate and Personal Pensions was the theme of an information session recently organised by Bank of Valletta in collaboration with the Gozo Business Chamber. In her opening...
The value of saving,"Thursday, 10 October 2019, 15:32","Last week we published a presentation of Gemma, the Family Ministry unit which aims to focus people's minds to savings. As was explained in the very good presentation, it has been some time since..."
Meet the Regulators at the IoD on 31 October,"Thursday, 10 October 2019, 15:31","Regulations are shifting, placing new demands on banks, insurers, fintechs, iGaming companies and regulators to create thriving financial and gaming markets that are both safe and innovative...."
NOUV announces core management team,"Thursday, 10 October 2019, 15:30","NOUV, a multidisciplinary firm of certified public accountants, practising auditors, company service providers and certified information systems auditors is announcing its new core management..."
STM Malta named National Winner in prestigious European competition,"Thursday, 10 October 2019, 15:29","STM Malta Trust and Company Management Limited has been named National Winner in the 2019 European Business awards, one of the world's largest business competitions.  It was chosen from 2,753..."
HSBC Malta launches new mobile banking app,"Thursday, 10 October 2019, 15:29","For every download the bank donates €1 to Nature Trust Malta HSBC Bank Malta has launched its new mobile banking app, which is available to download now for free from the App Store and..."
The Malta Airport Foundation appoints a new chairman,"Thursday, 10 October 2019, 15:28","To mark the fifth anniversary since its establishment, the Malta Airport Foundation has unveiled a fresh visual identity, heralding the next phase for the non-profit organisation. This rebrand,..."
